filename,brightness_mu,brightness_std,contrast_mu,contrast_std,colorfulness_mu,colorfulness_std,sharpness_mu,sharpness_std,si_mu,si_std,ti_std_mu,ti_std_std,ti_mag_mu,ti_mag_std,niqe_mu,niqe_std,full_duration,height,width,pixels,aspect_ratio,frame_rate,bitrate,format,format_long_name,codec,codec_long_name
/mnt/ztu/yfcc_vid_test/974/352/9743525442_crop_20s.mp4,65.3139695322933,11.4026669411698,59.7945304231126,4.95496835488127,54.7185118972033,5.67179647914424,22.9475431247964,4.97412223137699,44.0547443595899,10.3298106382876,31.9554906600112,6.39896193060802,17.1567290948393,4.93807153799993,12.9134323230157,0.429802681685543,21.525,720,1280,921600,1.77777777777778,24,3167791,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/011/9740119336_crop_20s.mp4,127.214452583685,5.38608258719836,53.6853746458031,1.50999465757775,53.4614328112882,1.88483225539204,41.3450156364617,1.81703560579021,66.5652665192821,2.59496431005544,28.1149310832652,8.25059321171451,12.5530985426987,5.44202725626829,12.4438850739423,0.847482018662642,21.105,1080,1920,2073600,1.77777777777778,23.976,4502338,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/185/9741858951_crop_20s.mp4,150.565088305069,7.81405194670885,49.9241312032354,4.87415827770306,13.0455424105352,2.08933464020238,31.3438804938617,9.35396607658148,59.6593078205919,18.2126210543929,23.3387812334028,8.70109438832084,10.732440604975,4.86827835926055,11.2495888918638,0.717164504611121,21.088,1080,1920,2073600,1.77777777777778,29.97,4516100,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/109/9741098683_crop_20s.mp4,105.166750303894,12.8001707623703,64.0581634449356,3.94117642174646,28.343863370971,13.3895582286264,47.3030177225064,16.93209515704,66.1892211798755,21.2664802626805,41.2519818955102,13.2647710341795,27.2502345438112,10.7105438331,13.2280618667603,1.0058200909335,21.389,1080,1920,2073600,1.77777777777778,29.97,4153176,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/124/9741247642_crop_20s.mp4,110.767991892268,8.80299960847641,69.7275142581374,11.1922020988634,47.1397190512515,4.66778697309776,67.1493224137747,13.5533736074378,84.6025600270259,19.3511999872489,41.4219240371451,8.8007523470682,26.6740845951525,5.76487873556798,11.7687558666352,1.39766935441642,20.573,1080,1920,2073600,1.77777777777778,29.97,4123322,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/369/9743699828_crop_20s.mp4,5.59571239443386,0.042376561566893,27.3186649893268,0.202783915676394,1.89519644650391,0.026784872254319,2.15235640920888,0.178606911774166,16.7768973327068,0.394004207332021,0.635797097809808,0.075182031860332,0.168947853269676,0.025055182406985,19.2883228975184,0.621964323690963,20.08,1080,1920,2073600,1.77777777777778,25,4242586,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/080/9740804558_crop_20s.mp4,120.857408986425,8.56520344277106,77.3286876658403,3.91123154614723,36.69235718707,11.8950415179114,44.2587768008468,6.82074571055959,75.7766934438654,7.4191527664305,29.7586146657518,5.58106907611294,14.8872659689536,3.725311945727,11.7317563295364,0.447819315483606,21.088,1080,1920,2073600,1.77777777777778,29.97,4373165,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/180/9741806418_crop_20s.mp4,125.964095659366,9.27726174078762,53.6620703310098,4.62207557570446,56.4989543464113,10.1754894537666,72.5166585015258,10.9677303095672,112.537429772456,12.9335248161457,31.6879973306196,10.4130599724369,16.3769903531643,7.04781428377179,14.2420735061169,1.37356053264336,21.088,720,1280,921600,1.77777777777778,29.97,3380672,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/127/9741279688_crop_20s.mp4,112.938767330844,22.371136417314,55.4835455414765,11.4871747633278,15.3491121425356,4.25443072200495,52.360042476175,25.0955288879704,61.2013988212527,25.8115067715895,28.0651742244682,9.56851684675039,18.4437914235453,6.68479965625316,14.2962349421942,2.06604665619655,22.089,1080,1920,2073600,1.77777777777778,29.97,4300956,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
/mnt/ztu/yfcc_vid_test/974/399/9743993654_crop_20s.mp4,124.644949368662,5.48047550348784,43.5500844897234,2.26163295612518,54.2580312204186,4.04984765477937,40.3180470353424,4.78226565473157,49.8308326352106,3.76303791464442,31.80634078596,5.7178857975774,18.6380868986806,3.8953433472052,13.8821771777406,0.776868553093554,20.104,1080,1920,2073600,1.77777777777778,23.976,4250872,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
